Home,Away,prob.home,prob.draw,prob.away
Rusia,Arabia Saudita,0.728411168,0.197916377,0.073672456
Egipto,Uruguay,0.129513919,0.249051903,0.621434179
Marruecos,Iran,0.41254908,0.320442472,0.267008447
Portugal,Espana,0.220375262,0.280439135,0.499185604
Francia,Australia,0.80000529,0.149553504,0.050441207
Peru,Dinamarca,0.249591869,0.291711168,0.458696964
Argentina,Islandia,0.721445636,0.200088614,0.07846575
Croacia,Nigeria,0.518388599,0.278664477,0.202946923
Costa Rica,Serbia,0.248152781,0.315320669,0.43652655
Brasil,Suiza,0.701503592,0.20141814,0.097078268
Alemania,Mexico,0.665631029,0.218181671,0.116187301
Suecia,Republica de Corea,0.45828645,0.292575862,0.249137688
Belgica,Panama,0.844804661,0.12397072,0.03122462
Tunes,Inglaterra,0.089330734,0.194251824,0.716417442
Polonia,Senegal,0.412528535,0.301279132,0.286192334
Colombia,Japon,0.555069148,0.265861487,0.179069365
Rusia,Egipto,0.532396349,0.271220257,0.196383393
Portugal,Marruecos,0.624405541,0.244595721,0.130998738
Iran,Espana,0.046072134,0.14214178,0.811786086
Uruguay,Arabia Saudita,0.775180986,0.164116878,0.060702136
Francia,Peru,0.716599091,0.193424601,0.089976308
Dinamarca,Australia,0.551517613,0.266463852,0.182018535
Argentina,Croacia,0.514964851,0.273103234,0.211931914
Brasil,Costa Rica,0.787277801,0.150560627,0.062161572
Serbia,Suiza,0.327629853,0.305423685,0.366946462
Nigeria,Islandia,0.341861343,0.311112114,0.347026543
Belgica,Tunes,0.7638454,0.167711395,0.068443205
Alemania,Suecia,0.645089101,0.223748316,0.131162583
Republica de Corea,Mexico,0.223170622,0.286092342,0.490737036
Inglaterra,Panama,0.808536269,0.145543892,0.045919838
Japon,Senegal,0.296484547,0.299332245,0.404183208
Polonia,Colombia,0.314487197,0.299998616,0.385514186
Uruguay,Rusia,0.383875384,0.300579863,0.315544753
Arabia Saudita,Egipto,0.182301128,0.268657741,0.549041131
Iran,Portugal,0.091479695,0.196767672,0.711752633
Espana,Marruecos,0.704549535,0.199826531,0.095623934
Australia,Peru,0.271339411,0.290448594,0.438211995
Dinamarca,Francia,0.162019217,0.250343439,0.587637344
Nigeria,Argentina,0.123287427,0.215002149,0.661710424
Islandia,Croacia,0.197365784,0.271356389,0.531277827
Republica de Corea,Alemania,0.076953854,0.1694613,0.753584846
Mexico,Suecia,0.385288772,0.299256486,0.315454743
Serbia,Brasil,0.098396237,0.197015032,0.704588731
Suiza,Costa Rica,0.512062431,0.279718756,0.208218813
Japon,Polonia,0.214206229,0.272101188,0.513692583
Senegal,Colombia,0.237131096,0.288211722,0.474657183
Inglaterra,Belgica,0.3260944,0.285103294,0.388802306
Panama,Tunes,0.283681214,0.296464829,0.419853957